id,text,versetype,subtype,lex_id,textlineid,pos_rnn,lemma_rnn,syntag,syntag2,lemma
200,blondel,7s,---,pensé,632,VERppe,penser,Vpp,Vpp,penser
201,blondel,7s,---,.,632,PONfrt,.,Pnc,Pnc,
202,blondel,7s,---,bien,633,ADVgen,bien,Adv,Adv,bien
203,blondel,7s,---,doi,633,VERcjg,devoir,Vfin,Vfin,devoir2
204,blondel,7s,---,amer,633,VERinf,aimer,Vinf,Vinf,aimer
205,blondel,7s,---,ma,633,DETpos,mon,Det,Det,mon1
206,blondel,7s,---,pensee,633,NOMcom,pensée,N,N,
207,blondel,7s,---,",",633,PONfbl,",",Pnc,Pnc,
208,blondel,7s,---,quel,634,DETrel,quel,QIs,QIs,quel
209,blondel,7s,---,mal,634,NOMcom,mal,N,N,mal1
210,blondel,7s,---,qu',634,PROrel,que,Qux,Qux,que
211,blondel,7s,---,en,634,PROadv,en,Prn,Prn$$,en2
212,blondel,7s,---,aie,634,VERcjg,avoir,Vfin,Vfin,avoir1
213,blondel,7s,---,enduré,634,VERppe,endurer,Vpp,Vpp,endurer
214,blondel,7s,---,.,634,PONfrt,.,Pnc,Pnc,
215,blondel,7s,---,se,635,CONsub,si,Sub,Sub,si3
216,blondel,7s,---,ma,635,DETpos,mon,Det,Det,mon1
217,blondel,7s,---,dame,635,NOMcom,dame,N,N,
218,blondel,7s,---,bien,635,ADVgen,bien,Adv,Adv,bien
219,blondel,7s,---,amee,635,VERppe,aimer,Vpp,Vpp,aimer
220,blondel,7s,---,eust,636,VERcjg,avoir,Vfin,Vfin,avoir1
221,blondel,7s,---,moi,636,PROper,je,Prn,Prn,1ps
222,blondel,7s,---,tant,636,ADVgen,tant,QIs,QIs,tant
223,blondel,7s,---,desirré,636,VERppe,désirer,Vpp,Vpp,désirer
224,blondel,7s,---,com,637,CONsub,comme,Sub,Sub,comme
225,blondel,7s,---,j',637,PROper,je,Prn,Prn$,1ps
226,blondel,7s,---,ai,637,VERcjg,avoir,Vfin,Vfin,avoir1
227,blondel,7s,---,li,637,PROper,il,Prn,Prn,3p
228,blondel,7s,---,—,637,PROcar,deux,Pnc,Pnc,
229,blondel,7s,---,ce,637,PROdem,ce,Prn,Prn$,ce1
230,blondel,7s,---,m',637,PROper,je,Prn,Prn$$,1ps
231,blondel,7s,---,a,637,VERcjg,avoir,Vfin,Vfin,avoir1
232,blondel,7s,---,grevé,637,VERppe,grever,Vpp,Vpp,grever
233,blondel,7s,---,—,637,PROcar,deux,Pnc,Pnc,
234,blondel,7s,---,",",637,PONfbl,",",Pnc,Pnc,
235,blondel,7s,---,ne,638,ADVneg,ne,Neg,Neg,ne1
236,blondel,7s,---,se,638,PROper,se,Prn,Prn$$,soi
237,blondel,7s,---,fust,638,VERcjg,être,Vfin,Vfin,être1|ester
238,blondel,7s,---,pas,638,ADVneg,pas,Neg,Neg,pas
239,blondel,7s,---,consirree,638,VERppe,consirer,Vpp,Vpp,consirer
240,blondel,7s,---,de,639,PRE,de,Pre,Pre,de
241,blondel,7s,---,ce,639,PROdem,ce,Prn,Prn,ce1
242,blondel,7s,---,donc,639,PROrel,dont,Qux,Qux,dont
243,blondel,7s,---,m',639,PROper,je,Prn,Prn$$,1ps
244,blondel,7s,---,ai,639,VERcjg,avoir,Vfin,Vfin,avoir1
245,blondel,7s,---,consirré,639,VERppe,consirer,Vpp,Vpp,consirer
246,blondel,7s,---,;,639,PONfbl,;,Pnc,Pnc,
247,blondel,7s,---,maiz,640,CONcoo,mais,Crd,Crd,mais1
248,blondel,7s,---,tout,640,ADVgen,tout,QIs,QIs,tout
249,blondel,7s,---,li,640,PROper,il,Prn,Prn$$,3p
250,blondel,7s,---,soit,640,VERcjg,être,Vfin,Vfin,être1|ester
251,blondel,7s,---,pardouné,640,VERppe,pardonner,Vpp,Vpp,pardonner
252,blondel,7s,---,.,640,PONfrt,.,Pnc,Pnc,
253,blondel,7s,---,sa,641,DETpos,son,Det,Det,son4
254,blondel,7s,---,biautez,641,NOMcom,beauté,N,N,
255,blondel,7s,---,m',641,PROper,je,Prn,Prn$$,1ps
256,blondel,7s,---,est,641,VERcjg,être,Vfin,Vfin,être1|ester
257,blondel,7s,---,anemie,641,NOMcom,ennemi,N,N,
258,blondel,7s,---,",",641,PONfbl,",",Pnc,Pnc,
259,blondel,7s,---,qu',642,CONcoo,que,,Crd,que
260,blondel,7s,---,ainc,642,ADVgen,ainc,Adv,Adv,onques
261,blondel,7s,---,en,642,PRE,en,Pre,Pre,en1
262,blondel,7s,---,dame,642,NOMcom,dame,N,N,
263,blondel,7s,---,tant,642,ADVgen,tant,QIs,QIs,tant
264,blondel,7s,---,n',642,ADVneg,ne,Neg,Neg,ne1
265,blondel,7s,---,en,642,PROadv,en,Prn,Prn$$,en2
266,blondel,7s,---,vi,642,VERcjg,voir,Vfin,Vfin,voir
267,blondel,7s,---,;,642,PONfbl,;,Pnc,Pnc,
268,blondel,7s,---,c',643,PROdem,ce,Prn,Prn$,ce1
269,blondel,7s,---,est,643,VERcjg,être,Vfin,Vfin,être1|ester
270,blondel,7s,---,ce,643,PROdem,ce,Prn,Prn,ce1
271,blondel,7s,---,qui,643,PROrel,qui,Qux,Qux,qui
272,blondel,7s,---,pluz,643,ADVgen,plus,Adv,Adv,plus
273,blondel,7s,---,me,643,PROper,je,Prn,Prn$$,1ps
274,blondel,7s,---,detrie,643,VERcjg,détrier,Vfin,Vfin,détrier
275,blondel,7s,---,a,644,PRE,à,Pre,Pre,à
276,blondel,7s,---,avoir,644,VERinf,avoir,Vinf,Vinf,avoir1
277,blondel,7s,---,l',644,DETdef,le,Det,Det,le
278,blondel,7s,---,amour,644,NOMcom,amour,N,N,
279,blondel,7s,---,de,644,PRE,de,Pre,Pre,de
280,blondel,7s,---,li,644,PROper,il,Prn,Prn,3p
281,blondel,7s,---,.,644,PONfrt,.,Pnc,Pnc,
282,blondel,7s,---,se,645,CONsub,si,Sub,Sub,si3
283,blondel,7s,---,fine,645,ADJqua,fin,Adj,Adj,fin2
284,blondel,7s,---,amours,645,NOMcom,amour,N,N,
285,blondel,7s,---,ne,645,ADVneg,ne,Neg,Neg,ne1
286,blondel,7s,---,l',645,PROper,il,Prn,Prn$$,3p
287,blondel,7s,---,en,645,PROadv,en,Prn,Prn$$,en2
288,blondel,7s,---,prie,645,VERcjg,prier,Vfin,Vfin,prier
289,blondel,7s,---,",",645,PONfbl,",",Pnc,Pnc,
290,blondel,7s,---,qui,646,PROrel,qui,Qux,Qux,qui
291,blondel,7s,---,de,646,PRE,de,Pre,Pre,de
292,blondel,7s,---,moi,646,PROper,je,Prn,Prn,1ps
293,blondel,7s,---,a,646,VERcjg,avoir,Vfin,Vfin,avoir1
294,blondel,7s,---,fait,646,VERppe,faire,Vpp,Vpp,faire
295,blondel,7s,---,ami,646,NOMcom,ami,N,N,
296,blondel,7s,---,",",646,PONfbl,",",Pnc,Pnc,
297,blondel,7s,---,en,647,PRE,en,Pre,Pre,en1
298,blondel,7s,---,douz,647,ADJqua,doux,Adj,Adj,doux
299,blondel,7s,---,espoir,647,NOMcom,espoir,N,N,
300,blondel,7s,---,m',647,PROper,je,Prn,Prn$$,1ps
301,blondel,7s,---,a,647,VERcjg,avoir,Vfin,Vfin,avoir1
302,blondel,7s,---,trahi,647,VERppe,trahir,Vpp,Vpp,trahir
303,blondel,7s,---,;,647,PONfbl,;,Pnc,Pnc,
304,blondel,7s,---,maiz,648,CONcoo,mais,Crd,Crd,mais1
305,blondel,7s,---,ja,648,ADVgen,jà,Adv,Adv,jà
306,blondel,7s,---,pour,648,PRE,pour,Pre,Pre,pour
307,blondel,7s,---,ce,648,PROdem,ce,Prn,Prn,ce1
308,blondel,7s,---,n',648,ADVneg,ne,Neg,Neg,ne1
309,blondel,7s,---,iert,648,VERcjg,être,Vfin,Vfin,être1|ester
310,blondel,7s,---,haïe,648,VERppe,haïr,Vpp,Vpp,haïr
311,blondel,7s,---,de,649,PRE,de,Pre,Pre,de
312,blondel,7s,---,moi,649,PROper,je,Prn,Prn,1ps
313,blondel,7s,---,qui,649,PROrel,qui,Qux,Qux,qui
314,blondel,7s,---,la,649,PROper,il,Prn,Prn$$,3p
315,blondel,7s,---,desir,649,VERcjg,désirer,Vfin,Vfin,désirer
316,blondel,7s,---,si,649,ADVgen,si,Adv,Adv,si4
317,blondel,7s,---,qu',650,CONsub,que,Sub,Sub,que
318,blondel,7s,---,en,650,PRE,en,Pre,Pre,en1
319,blondel,7s,---,mon,650,DETpos,mon,Det,Det,mon1
320,blondel,7s,---,desirrier,650,NOMcom,désirier,N,N,
321,blondel,7s,---,m',650,PROper,je,Prn,Prn$$,1ps
322,blondel,7s,---,oci,650,VERcjg,occire,Vfin,Vfin,occire
323,blondel,7s,---,.,650,PONfrt,.,Pnc,Pnc,
324,blondel,7s,---,bien,651,ADVgen,bien,Adv,Adv,bien
325,blondel,7s,---,en,651,PROadv,en,Prn,Prn$$,en2
326,blondel,7s,---,doit,651,VERcjg,devoir,Vfin,Vfin,devoir2
327,blondel,7s,---,faire,651,VERinf,faire,Vinf,Vinf,faire
328,blondel,7s,---,m',651,DETpos,mon,Det,Det,mon1
329,blondel,7s,---,amie,651,NOMcom,ami,N,N,
330,blondel,7s,---,l',652,DETdef,le,Det,Det,le
331,blondel,7s,---,amours,652,NOMcom,amour,N,N,
332,blondel,7s,---,u,652,PROrel,où,Qux,Qux,où
333,blondel,7s,---,j',652,PROper,je,Prn,Prn$,1ps
334,blondel,7s,---,ai,652,VERcjg,avoir,Vfin,Vfin,avoir1
335,blondel,7s,---,tant,652,ADVgen,tant,QIs,QIs,tant
336,blondel,7s,---,servi,652,VERppe,servir,Vpp,Vpp,servir
337,blondel,7s,---,",",652,PONfbl,",",Pnc,Pnc,
338,blondel,7s,---,c',653,CONsub,que,Sub,Sub,que
339,blondel,7s,---,onques,653,ADVgen,onques,Adv,Adv,onques
340,blondel,7s,---,nul,653,DETind,nul,QIs,QIs,nul
341,blondel,7s,---,jour,653,NOMcom,jour,N,N,
342,blondel,7s,---,de,653,PRE,de,Pre,Pre,de
343,blondel,7s,---,ma,653,DETpos,mon,Det,Det,mon1
344,blondel,7s,---,vie,653,NOMcom,vie,N,N,
345,blondel,7s,---,certes,654,ADVgen,certes,Adv,Adv,certes
346,blondel,7s,---,ne,654,ADVneg,ne,Neg,Neg,ne1
347,blondel,7s,---,m',654,PROper,je,Prn,Prn$$,1ps
348,blondel,7s,---,en,654,PROadv,en,Prn,Prn$$,en2
349,blondel,7s,---,repenti,654,VERcjg,repentir,Vfin,Vfin,repentir
350,blondel,7s,---,",",654,PONfbl,",",Pnc,Pnc,
351,blondel,7s,---,ne,655,CONcoo,ne,Crd,Crd,ne2
352,blondel,7s,---,encor,655,ADVgen,encore,Adv,Adv,encore
353,blondel,7s,---,ne,655,ADVneg,ne,Neg,Neg,ne1
354,blondel,7s,---,m',655,PROper,je,Prn,Prn$$,1ps
355,blondel,7s,---,en,655,PROadv,en,Prn,Prn$$,en2
356,blondel,7s,---,faig,655,VERcjg,feindre,,Vfin,feindre
357,blondel,7s,---,mie,655,ADVneg,mie,Neg,Neg,mie3
358,blondel,7s,---,",",655,PONfbl,",",Pnc,Pnc,
359,blondel,7s,---,pour,656,PRE,pour,Pre,Pre,pour
360,blondel,7s,---,tant,656,ADVgen,tant,QIs,QIs,tant
361,blondel,7s,---,quit,656,VERcjg,cuider,Vfin,Vfin,cuider
362,blondel,7s,---,avoir,656,VERinf,avoir,Vinf,Vinf,avoir1
363,blondel,7s,---,merci,656,NOMcom,merci,N,N,
364,blondel,7s,---,.,656,PONfrt,.,Pnc,Pnc,
365,blondel,7s,---,se,657,DETpos,son,Det,Det,son4
366,blondel,7s,---,loiautez,657,NOMcom,loyauté,N,N,
367,blondel,7s,---,",",657,PONfbl,",",Pnc,Pnc,
368,blondel,7s,---,u,657,CONcoo,ou,Crd,Crd,ou1
369,blondel,7s,---,m',657,PROper,je,Prn,Prn$$,1ps
370,blondel,7s,---,afi,657,VERcjg,affier,Vfin,Vfin,affier
371,blondel,7s,---,",",657,PONfbl,",",Pnc,Pnc,
372,blondel,7s,---,valoit,658,VERcjg,valoir,Vfin,Vfin,valoir
373,blondel,7s,---,melz,658,ADVgen,mieux,Adv,Adv,mieux
374,blondel,7s,---,de,658,PRE,de,Pre,Pre,de
375,blondel,7s,---,trecherie,658,NOMcom,trécherie,N,N,
376,blondel,7s,---,",",658,PONfbl,",",Pnc,Pnc,
377,blondel,7s,---,bien,659,ADVgen,bien,Adv,Adv,bien
378,blondel,7s,---,doi,659,VERcjg,devoir,Vfin,Vfin,devoir2
379,blondel,7s,---,avoir,659,VERinf,avoir,Vinf,Vinf,avoir1
380,blondel,7s,---,desservi,659,VERppe,desservir,Vpp,Vpp,desservir
381,blondel,7s,---,ce,660,PROdem,ce,Prn,Prn,ce1
382,blondel,7s,---,dont,660,PROrel,dont,Qux,Qux,dont
383,blondel,7s,---,je,660,PROper,je,Prn,Prn,1ps
384,blondel,7s,---,ma,660,DETpos,mon,Det,Det,mon1
385,blondel,7s,---,dame,660,NOMcom,dame,N,N,
386,blondel,7s,---,pri,660,VERcjg,prier,Vfin,Vfin,prier
387,blondel,7s,---,.,660,PONfrt,.,Pnc,Pnc,
388,blondel,7s,---,se,661,CONsub,si,Sub,Sub,si3
389,blondel,7s,---,blondiauz,661,NOMcom,blondeau,N,N,
390,blondel,7s,---,i,661,PROadv,y,Prn,Prn$$,y
391,blondel,7s,---,a,661,VERcjg,avoir,Vfin,Vfin,avoir1
