"wd_id","line_id","linewd","word","lex_id","tag","textlineid","lemma"
3555,545,4,"son","son","DET:poss",2980,"son4_S"
3556,545,5,"tout","tout","PRO:ind",2980,"tot_S"
3557,545,6,"avez","avez","VER",2980,"avoir_+IM"
3558,546,1,"Fait","fait","VER",2981,"faire|farre_+CMI|M"
3559,546,2,",",",","PON",2981,","
3560,546,3,"qui","qui","PROCON",2981,"qui_S"
3561,546,4,"est","est","VER",2981,"ester|estre1_+M|+I"
3562,546,5,"grant","grant","ADJ",2981,"grant_+CIT"
3563,546,6,"mespresure","mespresure","NOM",2981,"mespresure_+T"
3564,547,1,"Encontre","encontre","PRE",2982,"encontre1_S"
3565,547,2,"moi","moi","PRO:pers",2982,"je_S"
3566,547,3,"et","et","CON:coord",2982,"et_S"
3567,547,4,"contre","contre","PRE",2982,"contre_S"
3568,547,5,"Nature","nature","NOM",2982,"nature_+IT"
3569,547,6,".",".","PON",2982,"."
3570,548,1,"Or","or","ADV",2985,"or4|or_+IT|CI"
3571,548,2,",",",","PON",2985,","
3572,548,3,"gardez","gardez","VER",2985,"garder_+MI"
3573,548,4,"quel","quel","ADJ",2985,"quel_C"
3574,548,5,"response","response","NOM",2985,"response_+CIT"
3575,548,6,"ara","ara","VER",2985,"avoir_+M"
3576,549,1,"celle","celle","PRO:demo",2986,"cel_S"
3577,549,2,"qui","qui","PROCON",2986,"qui_S"
3578,549,3,"envoié","envoié","VER",2986,"envoiier_+I"
3579,549,4,"m'","m'","PRO:pers",2986,"je_S"
3580,549,5,"i","i","PRO:clit",2986,"i2_S"
3581,549,6,"a","a","VER",2986,"avoir_+CMI"
3582,549,7,"!","!","PON",2986,"!"
3583,549,8,"»","»","PON:cit",2986,"»"
