"wd_id","line_id","linewd","lex_id","tag","textlineid","TT lemma"
410,61,4,"vos","DET:poss",62,"vostre_S"
411,61,5,"bone","ADJ",62,"bon_+CI"
412,61,6,"ordenance","NOM",62,"ordenance_+CT"
413,61,7,",","PON",62,","
414,62,1,"i'","PRO:clit",63,"i2_S"
415,62,2,"en","PRO:clit",63,"en2_S"
416,62,3,"veulh","VER",63,"<unknown>"
417,62,4,"oureir","VER",63,"avoir_*+M"
418,62,5,"à","PRE",63,"a_S"
419,62,6,"mon","DET:poss",63,"mon1_S"
420,62,7,"poioir","VER",63,"<nolem>"
421,62,8,",","PON",63,","
422,63,1,"car","CON:coord",64,"car_S"
423,63,2,"ie","PRO:pers",64,"je_S"
424,63,3,"ne","PRO:clit",64,"en2_S"
425,63,4,"sens","NOM",64,"sens_+IT"
426,63,5,"par","PRE",64,"par_S"
427,63,6,"voir","ADJ",64,"voir_+IT"
428,64,1,"ma","DET:poss",65,"mon1_S"
429,64,2,"besongne","NOM",65,"<nolem>"
430,64,3,"bien","ADV",65,"bien1|bien2|bien_+IT|C|I"
431,64,4,"acquieueir","VER",65,"<unknown>"
432,64,5,".","PON",65,"."
433,65,1,"dont","ADV",66,"donc|dont_I|I"
434,65,2,",","PON",66,","
435,65,3,"se","PRO:invar",66,"ce1_S"
436,65,4,"me","PRO:pers",66,"je_S"
437,65,5,"veulhiés","VER",66,"<unknown>"
438,65,6,"accorder","VER",66,"acorder_*+IT"
439,66,1,"que","PROCON",67,"que3_S"
440,66,2,"mon","DET:poss",67,"mon1_S"
441,66,3,"plaisir","NOM",67,"plaisir_+IT"
442,66,4,"ie","PRO:pers",67,"je_S"
443,66,5,"luy","PRO:pers",67,"il|loi1_S|S"
444,66,6,"disisse","VER",67,"dire_+M"
445,67,1,"et","CON:coord",68,"et_S"
446,67,2,"que","PROCON",68,"que3_S"
447,67,3,"sa","DET:poss",68,"son4_S"
448,67,4,"volenté","NOM",68,"volenté_+IT"
449,67,5,"seuisse","VER",68,"savoir_+M"
450,67,6,",","PON",68,","
451,68,1,"ie","PRO:pers",69,"je_S"
452,68,2,"vos","PRO:pers",69,"vos1_S"
453,68,3,"en","PRO:clit",69,"en2_S"
454,68,4,"saroye","VER",69,"savoir_+M"
455,68,5,"bons","ADJ",69,"bon_+CI"
456,68,6,"greit","NOM",69,"gré2_+Z"
457,68,7,".","PON",69,"."
458,69,1,"ilh","PRO:pers",70,"il_S"
459,69,2,"vos","PRO:pers",70,"vos1_S"
460,69,3,"est","VER",70,"ester|estre1_+M|+I"
461,69,4,"par","PRE",70,"par_S"
462,69,5,"moy","PRO:pers",70,"je_S"
463,69,6,"accordé","VER",70,"acorder_*+I"
464,69,7,",","PON",70,","
465,70,1,"mains","ADV",71,"moins_I"
466,70,2,"n'","PRO:clit",71,"en2_S"
467,70,3,"alés","VER",71,"aler_+M"
468,70,4,"qui","PROCON",71,"qui_S"
469,70,5,"unc","ADV",71,"onque_+I"
470,70,6,"pau","ADV",71,"poi_Z"
471,70,7,"iouquant","VER",71,"<unknown>"
472,70,8,",","PON",71,","
473,71,1,"je","PRO:pers",72,"je_S"
474,71,2,"reuenraie","VER",72,"<unknown>"
475,71,3,"tout","PRO:ind",72,"tot_S"
476,71,4,"maintenant","ADV",72,"maintenant_+IT"
477,71,5,",","PON",72,","
478,72,1,"amour","NOM",73,"amor_+G"
479,72,2,",","PON",73,","
480,72,3,"car","CON:coord",73,"car_S"
481,72,4,"il","PRO:pers",73,"il_S"
482,72,5,"m'","PRO:pers",73,"je_S"
483,72,6,"en","PRO:clit",73,"en2_S"
484,72,7,"fait","VER",73,"faire|farre_+CMI|M"
485,72,8,"aleir","VER",73,"aler_+M"
486,73,1,"mes","DET:poss",74,"mon1_S"
487,73,2,"moutonceals","NOM",74,"<unknown>"
488,73,3,"as","PREDET:a",74,"a+le_S"
489,73,4,"champ","NOM",74,"champ_+CIT"
490,73,5,"myner","NOM",74,"<unknown>"
491,73,6,",","PON",74,","
492,74,1,"car","CON:coord",75,"car_S"
493,74,2,"il","PRO:pers",75,"il_S"
494,74,3,"en","PRO:clit",75,"en2_S"
495,74,4,"sera","VER",75,"estre1|estre|saveir|seoir_+I|CMI|M|M"
496,74,5,"ià","ADV",75,"ja_*+CIT"
497,74,6,"tout","DET:ind",75,"tot_S"
498,74,7,"temps","NOM",75,"tens_+CT"
499,74,8,".","PON",75,"."
500,75,1,"loyalté","VER",76,"<unknown>"
501,75,2,",","PON",76,","
502,75,3,"li","DET:def",76,"le_S"
503,75,4,"hault","ADJ",76,"haut_+Z"
504,75,5,"dieu","NOM",76,"dieu_+CIT"
505,75,6,"puissant","ADJ",76,"poissant_+IT"
506,76,1,"vos","PRO:pers",77,"vos1_S"
507,76,2,"doinst","VER",77,"doner|donner_+IM|M"
508,76,3,"paix","NOM",77,"pais_+Z"
509,76,4,",","PON",77,","
510,76,5,"santé","NOM",77,"santé_+IT"
511,76,6,",","PON",77,","
512,76,7,"sens","NOM",77,"sens_+IT"
513,76,8,"et","CON:coord",77,"et_S"
514,76,9,"ioie","NOM",77,"joie|joïe1|joïe2_*+IT|+Td|+Td"
515,76,10,"!","PON",77,"!"
516,77,1,"vray","ADJ",78,"verai_*+T"
517,77,2,"est","VER",78,"ester|estre1_+M|+I"
518,77,3,"qui","PROCON",78,"qui_S"
519,77,4,"amor","NOM",78,"amor_+GIT"
520,77,5,"vers","PRE",78,"vers2_+S"
521,77,6,"vus","PRO:pers",78,"vos1_S"
522,77,7,"m'","PRO:pers",78,"je_S"
523,77,8,"enuoie","VER",78,"envoiier_+Z"
524,77,9,",","PON",78,","
525,78,1,"por","PRE",79,"por2_+S"
526,78,2,"ce","PRO:invar",79,"ce1_S"
527,78,3,",","PON",79,","
528,78,4,"belle","ADJ",79,"bel|belet_*I|T"
529,78,5,",","PON",79,","
530,78,6,"que","PROCON",79,"que3_S"
531,78,7,"i'","PRO:clit",79,"i2_S"
532,78,8,"aie","VER",79,"aidier|avoir_+MIdMd|+CMIMd"
533,78,9,"dezier","VER",79,"<unknown>"
534,79,1,"de","PRE",80,"de_+S"
535,79,2,"ma","DET:poss",80,"mon1_S"
536,79,3,"volenté","NOM",80,"volenté_+IT"
537,79,4,"descouurir","VER",80,"descovrir_*+Z"
538,80,1,"à","PRE",81,"a_S"
539,80,2,"vus","PRO:pers",81,"vos1_S"
540,80,3,",","PON",81,","
541,80,4,"come","ADV",81,"come1|come_I|I"
542,80,5,"à","PRE",81,"a_S"
543,80,6,"ma","DET:poss",81,"mon1_S"
544,80,7,"soueraine","ADJ",81,"soverain_Z"
545,81,1,"dame","NOM",82,"dam|dame|dan2_+T|+CIT|+T"
546,81,2,"en","PRE",82,"en1_+S"
547,81,3,"amour","NOM",82,"amor_+G"
548,81,4,",","PON",82,","
549,81,5,"cose","NOM",82,"chose_+Z"
550,81,6,"est","VER",82,"ester|estre1_+M|+I"
551,81,7,"certaine","ADJ",82,"certain_+C"
552,81,8,";","PON",82,";"
553,82,1,"car","CON:coord",83,"car_S"
554,82,2,"pastour","NOM",83,"pastor_*+T"
555,82,3,"ne","PRO:clit",83,"en2_S"
556,82,4,"saye","NOM",83,"<unknown>"
557,82,5,"viuans","VER",83,"<unknown>"
558,83,1,"por","PRE",84,"por2_+S"
559,83,2,"l'","DET:def",84,"le_S"
560,83,3,"eure","NOM",84,"ore3|ëure_+T|+Td"
561,83,4,"regnans","VER",84,"<unknown>"
562,83,5,"sur","PRE",84,"sor2_+S"
