"wd_id","line_id","linewd","lex_id","tag","TT lemma"
1794,276,6,"sejour","NOM","sejor_*+IT"
1795,276,7,".","PON","."
1796,277,1,"cescun","DET:ind","chascun_S"
1797,277,2,"jour","NOM","jor_+C"
1798,277,3,",","PON",","
1799,277,4,"par","PRE","par_S"
1800,277,5,"experience","NOM","esperïence_+Td"
1801,277,6,",","PON",","
1802,278,1,"personne","NOM","persone_+C"
1803,278,2,",","PON",","
1804,278,3,"quant","ADV","cant_C"
1805,278,4,"a","PRE","a_S"
1806,278,5,"le","DET:def","le_S"
1807,278,6,"science","NOM","scïence_+IdTd"
1808,278,7,",","PON",","
1809,279,1,"poet","VER","pöoir_+I"
1810,279,2,"moult","ADV","mout_I"
1811,279,3,"bien","ADV","bien1|bien2|bien_+IT|C|I"
1812,279,4,"vir","VER","vëoir_+T"
1813,279,5,"et","CON:coord","et_S"
1814,279,6,"percevoir","VER","perçoivre_+T"
1815,280,1,"et","CON:coord","et_S"
1816,280,2,"as","PREDET:a","a+le_S"
1817,280,3,"autres","ADJ","autre_CI"
1818,280,4,"dire","VER","dire_+MIT"
1819,280,5,"de","PRE","de_+S"
1820,280,6,"voir","ADJ","voir_+IT"
1821,281,1,"confite","VER","<nolem>"
1822,281,2,"chose","NOM","chose_+CIT"
1823,281,3,"c'","PROCON","ce|que1|que2|que3|que4|soi1_Z|Z|Z|Z|Z|Z"
1824,281,4,"est","VER","ester|estre1_+M|+I"
1825,281,5,"de","PRE","de_+S"
1826,281,6,"vie","NOM","vie1|voie_+T|+T"
1827,281,7,",","PON",","
1828,282,1,"en","PRE","en1_+S"
1829,282,2,"le","DET:def","le_S"
1830,282,3,"quelle","ADJ","quel_C"
1831,282,4,"moult","ADV","mout_I"
1832,282,5,"on","PRO:invar","on_S"
1833,282,6,"se","PRO:pers","soi1_S"
1834,282,7,"fie","VER","fier_M"
1835,282,8,",","PON",","
1836,283,1,"jovene","ADJ","juene_T"
1837,283,2,",","PON",","
1838,283,3,"vielle","ADJ","vieil_+I"
1839,283,4,",","PON",","
1840,283,5,"trestout","PRO:ind","trestot_S"
1841,283,6,"et","CON:coord","et_S"
1842,283,7,"toutes","PRO:ind","tot_S"
1843,283,8,".","PON","."
1844,284,1,"che","PRO:invar","ce1_S"
1845,284,2,"saras","VER","savoir_+M"
1846,284,3,",","PON",","
1847,284,4,"se","PRO:invar","ce1_S"
1848,284,5,"tu","PRO:pers","tu_S"
1849,284,6,"bien","ADV","bien1|bien2|bien_+IT|C|I"
1850,284,7,"m'","PRO:pers","je_S"
1851,284,8,"ascoutes","VER","<unknown>"
1852,284,9,":","PON",":"
1853,285,1,"cescuns","PRO:ind","chascun_S"
1854,285,2,"se","PRO:invar","ce1_S"
1855,285,3,"voelt","VER","voloir_+I"
1856,285,4,"ensi","ADV","ainsi_+IT"
1857,285,5,"norir","VER","norrir_+M"
1858,286,1,"que","PROCON","que3_S"
1859,286,2,"jovenes","ADJ","juene_*T"
1860,286,3,"il","PRO:pers","il_S"
1861,286,4,"ne","PRO:clit","en2_S"
1862,286,5,"puist","VER","pöoir_+I"
1863,286,6,"morir","VER","morir_+IT"
1864,287,1,"et","CON:coord","et_S"
1865,287,2,"se","DET:poss","son4_S"
1866,287,3,"fie","NOM","fie1|fie2|fief|foie1|foiiee_+T|+T|+C|+T|+T"
1867,287,4,"sur","PRE","sor2_+S"
1868,287,5,"jovenaice","NOM","<unknown>"
1869,287,6,";","PON",";"
1870,288,1,"car","CON:coord","car_S"
1871,288,2,"vivre","VER","vivre1|vivre_+IT|MI"
1872,288,3,"toudis","ADV","toz_dis_Z"
1873,288,4,"voelt","VER","voloir_+I"
1874,288,5,"en","PRE","en1_+S"
1875,288,6,"laice","NOM","<unknown>"
1876,288,7,",","PON",","
1877,289,1,"et","CON:coord","et_S"
1878,289,2,"nuls","PRO:ind","nul_S"
1879,289,3,"ne","PRO:clit","en2_S"
1880,289,4,"voelt","VER","voloir_+I"
1881,289,5,"estre","VER","entr'estre|estre1_+M|+IT"
1882,289,6,"tenus","VER","tenir_M"
1883,290,1,"vielles","ADJ","vieil_*+I"
1884,290,2,",","PON",","
1885,290,3,"ne","PRO:clit","en2_S"
1886,290,4,"cauves","VER","<unknown>"
1887,290,5,",","PON",","
1888,290,6,"ne","PRO:clit","en2_S"
1889,290,7,"kenus","VER","chenuer_M"
1890,290,8,".","PON","."
1891,291,1,"devenir","VER","devenir_+IT"
1892,291,2,"ciertes","ADV","certes_+Z"
1893,291,3,"toutevoies","ADV","voie_*I"
1894,292,1,"convient","VER","convivre_*M"
1895,292,2,"et","CON:coord","et_S"
1896,292,3,"passer","VER","passer1|passer_+T|IM"
1897,292,4,"par","PRE","par_S"
1898,292,5,"tels","ADJ","tel_+IT"
1899,292,6,"voies","NOM","voie_+CI"
1900,292,7,".","PON","."
1901,293,1,"la","ADV","là_+IIdTd"
1902,293,2,",","PON",","
1903,293,3,"qui","PROCON","qui_S"
1904,293,4,"vit","VER","vivre1|vëoir_+I|+I"
1905,293,5,",","PON",","
1906,293,6,"convient","VER","convivre_*M"
1907,293,7,"il","PRO:pers","il_S"
1908,293,8,"venir","VER","venir_+IT"
1909,293,9,",","PON",","
1910,294,1,"mes","VER","<unknown>"
1911,294,2,"nuls","PRO:ind","nul_S"
1912,294,3,"n'","PRO:clit","en2_S"
1913,294,4,"y","PRO:clit","i2_S"
1914,294,5,"pense","VER","penser_+M"
1915,294,6,"pervenir","VER","<nolem>"
1916,294,7,",","PON",","
1917,295,1,"et","CON:coord","et_S"
1918,295,2,",","PON",","
1919,295,3,"par","PRE","par_S"
1920,295,4,"dieu","NOM","dieu_+CIT"
1921,295,5,",","PON",","
1922,295,6,"qui","PROCON","qui_S"
1923,295,7,"seroit","VER","estre1|estre_+I|CMI"
1924,295,8,"bien","ADV","bien1|bien2|bien_+IT|C|I"
1925,295,9,"sages","ADJ","sage_+I"
1926,295,10,",","PON",","
1927,296,1,"il","PRO:pers","il_S"
1928,296,2,"penseroit","VER","penser_*+IMT"
1929,296,3,"a","PRE","a_S"
1930,296,4,"ces","DET:demo","cel|cest_S|S"
1931,296,5,"eages","NOM","aigue|ëage_*+G|+IdTd"
1932,296,6,";","PON",";"
1933,297,1,"car","CON:coord","car_S"
1934,297,2,"morir","VER","morir_+IT"
1935,297,3,"pour","PRE","por2_+S"
1936,297,4,"voir","ADJ","voir_+IT"
1937,297,5,"convenra","VER","covenir_+I"
1938,297,6,",","PON",","
1939,298,1,"et","CON:coord","et_S"
1940,298,2,"de","PRE","de_+S"
1941,298,3,"chou","PRO:invar","ce1_S"
1942,298,4,"nuls","PRO:ind","nul_S"
1943,298,5,"n'","PRO:clit","en2_S"
1944,298,6,"escapera","VER","eschaper_*+M"
1945,298,7,",","PON",","
1946,299,1,"enfant","NOM","enfant_+CIT"
1947,299,2,",","PON",","
1948,299,3,"ne","PRO:clit","en2_S"
1949,299,4,"jovene","ADJ","juene_T"
1950,299,5,",","PON",","
1951,299,6,"ne","PRO:clit","en2_S"
1952,299,7,"viellart","NOM","vieillart|viellart_T|I"
1953,299,8,".","PON","."
1954,300,1,"tout","PRO:ind","tot_S"
1955,300,2,"aront","VER","avoir_+M"
1956,300,3,"de","PRE","de_+S"
1957,300,4,"le","DET:def","le_S"
1958,300,5,"mort","NOM","mort_+CIT"
1959,300,6,"le","DET:def","le_S"
1960,300,7,"hart","NOM","hart_+IT"
1961,300,8,".","PON","."
1962,301,1,"or","ADV","or4|or_+IT|CI"
1963,301,2,"s'","PRO:pers","soi1_S"
1964,301,3,"avise","VER","aviser_+MI"
1965,301,4,"cescuns","PRO:ind","chascun_S"
1966,301,5,"de","PRE","de_+S"
1967,301,6,"faire","VER","faire_+MIT"
1968,302,1,"tout","PRO:ind","tot_S"
1969,302,2,"chou","PRO:invar","ce1_S"
1970,302,3,"k'","PROCON","que1|que2|que3|que4_S|S|S|S"
1971,302,4,"a","PRE","a_S"
1972,302,5,"dieu","NOM","dieu_+CIT"
1973,302,6,"puisse","VER","pöoir_+I"
1974,302,7,"bien","ADV","bien1|bien2|bien_+IT|C|I"
1975,302,8,"plaire","VER","plaire|plaisir_+MIT|M"
1976,302,9,".","PON","."
1977,303,1,"au","PREDET:a","a+le_S"
1978,303,2,"temps","NOM","tens_+CT"
1979,303,3,"que","PROCON","que3_S"
1980,303,4,"dieu","NOM","dieu_+CIT"
1981,303,5,"y","PRO:clit","i2_S"
1982,303,6,"pensera","VER","penser_*+IMT"
1983,303,7,",","PON",","
1984,304,1,"chou","PRO:invar","ce1_S"
1985,304,2,"qui","PROCON","qui_S"
1986,304,3,"s'","PRO:pers","soi1_S"
1987,304,4,"ensuit","VER","sivre_+M"
1988,304,5,",","PON",","
1989,304,6,"il","PRO:pers","il_S"
1990,304,7,"trouvera","VER","trover_*+I"
1991,304,8,".","PON","."
1992,305,1,"nous","PRO:pers","nos1_S"
1993,305,2,"avons","VER","avoir_+MI"
1994,305,3,"hier","ADV","ier_+IT"
1995,305,4,",","PON",","
1996,305,5,"huy","ADV","ui_*+IT"
1997,305,6,",","PON",","
1998,305,7,"sans","PRE","sans_+S"
1999,305,8,"demain","ADV","demain_+IT"
2000,305,9,";","PON",";"
2001,306,1,"autre","ADJ","autre_CIId"
2002,306,2,"cose","NOM","chose_+Z"
2003,306,3,"n'","PRO:clit","en2_S"
2004,306,4,"avons","VER","avoir_+MI"
2005,306,5,"en","PRE","en1_+S"
2006,306,6,"main","NOM","main2|main3_+IT|+T"
2007,306,7,".","PON","."
2008,307,1,"chiertes","ADV","certes_+Z"
2009,307,2,"hier","ADV","ier_+IT"
2010,307,3,"plus","ADV","plus_CI"
2011,307,4,"revenra","VER","revenir_*+I"
2012,307,5,",","PON",","
2013,308,1,"c'","PROCON","ce|que1|que2|que3|que4|soi1_Z|Z|Z|Z|Z|Z"
2014,308,2,"est","VER","ester|estre1_+M|+I"
2015,308,3,"passét","VER","passer_IM"
2016,308,4,",","PON",","
2017,308,5,"ensi","ADV","ainsi_+IT"
2018,308,6,"se","PRO:pers","soi1_S"
2019,308,7,"tenra","VER","tenir_IM"
2020,308,8,".","PON","."
2021,309,1,"e","CON:coord","et_S"
2022,309,2,"!","PON","!"
2023,309,3,"dous","ADJ:card","deus_CIT"
2024,309,4,"diex","NOM","dieu_*+CIT"
2025,309,5,",","PON",","
2026,309,6,"qu'","PROCON","que1|que2|que3|que4_S|S|S|S"
2027,309,7,"est","VER","ester|estre1_+M|+I"
2028,309,8,"che","PRO:invar","ce1_S"
2029,309,9,"dou","PREDET:de","de+le_S"
2030,309,10,"demain","NOM","demain_I"
2031,309,11,"?","PON","?"
2032,310,1,"nuls","PRO:ind","nul_S"
2033,310,2,"n'","PRO:clit","en2_S"
2034,310,3,"est","VER","ester|estre1_+M|+I"
2035,310,4,"seürs","ADJ","sëur_I"
2036,310,5,"que","PROCON","que3_S"
2037,310,6,"puist","VER","pöoir_+I"
2038,310,7,"se","DET:poss","son4_S"
2039,310,8,"main","NOM","main2|main3_+IT|+T"
2040,311,1,"matin","NOM","matin2|matin_+IT|I"
2041,311,2,"lever","VER","lever_+IMT"
2042,311,3,"pour","PRE","por2_+S"
2043,311,4,"luy","PRO:pers","il|loi1_S|S"
2044,311,5,"sainnier","VER","sainnier_M"
2045,311,6,".","PON","."
2046,312,1,"ensi","ADV","ainsi_+IT"
2047,312,2,"n'","PRO:clit","en2_S"
2048,312,3,"avons","VER","avoir_+MI"
2049,312,4,"demain","ADV","demain_+IT"
2050,312,5,",","PON",","
2051,312,6,"ne","PRO:clit","en2_S"
2052,312,7,"hier","ADV","ier_+IT"
2053,312,8,".","PON","."
2054,313,1,"dont","PRO:invar","dont_S"
2055,313,2,"n'","PRO:clit","en2_S"
2056,313,3,"avons","VER","avoir_+MI"
2057,313,4,"nous","PRO:pers","nos1_S"
2058,313,5,"dou","PREDET:de","de+le_S"
2059,313,6,"temps","NOM","tens_+CT"
2060,313,7,"fors","ADJ","fors_Z"
2061,313,8,"hore","NOM","ore3_+IT"
2062,313,9,":","PON",":"
2063,314,1,"pour","PRE","por2_+S"
2064,314,2,"dieu","NOM","dieu_+CIT"
2065,314,3,",","PON",","
2066,314,4,"cescuns","PRO:ind","chascun_S"
2067,314,5,"l'","PRO:pers","il"
2068,314,6,"ait","VER","aidier|avoir_+MIdMd|+CIM"
2069,314,7,"en","PRE","en1_+S"
2070,314,8,"memore","NOM","memoire_+Z"
2071,314,9,",","PON",","
2072,315,1,"pour","PRE","por2_+S"
2073,315,2,"lui","PRO:pers","il|loi1_S|S"
2074,315,3,"vuiler","VER","<unknown>"
2075,315,4,"et","CON:coord","et_S"
2076,315,5,"ensi","ADV","ainsi_+IT"
2077,315,6,"vivre","VER","vivre1|vivre_+IT|MI"
2078,316,1,"que","PROCON","que3_S"
2079,316,2,"s'","DET:poss","son4_S"
2080,316,3,"ame","NOM","ame_+CGIT"
2081,316,4,"soit","VER","estre1|savoir_+I|+M"
2082,316,5,"d'","PRE","de_+S"
2083,316,6,"infier","NOM","enfer_+Z"
2084,316,7,"delivre","ADJ","delivre1|delivre_+T|I"
2085,316,8,".","PON","."
2086,317,1,"sains","ADJ","sain_+I"
2087,317,2,"pols","NPR","pol_*I|Z"
2088,317,3,"si","DET:poss","son4_S"
2089,317,4,"dist","VER","dire_+CMI"
2090,317,5,"en","PRE","en1_+S"
2091,317,6,"ses","DET:poss","son4_S"
2092,317,7,"epistles","NOM","epistre_*+T"
2093,317,8,",","PON",","
2094,318,1,"dont","ADV","donc|dont_I|I"
